trade_money,diff_money,open_price,code,date,min_price,market,trade_num,turnover,close_price,max_price,swing,diff_rate
368947118.000,-0.03,8.880,601006,2017-11-30,8.810,sh,416807,0.280,8.850,8.910,1.13,-0.34
388937580.000,-0.02,8.900,601006,2017-11-29,8.820,sh,438484,0.295,8.880,8.920,1.12,-0.22
338012785.000,-0.12,8.940,601006,2017-11-28,8.870,sh,379584,0.255,8.900,8.970,1.11,-1.33
679468677.000,0.0,8.940,601006,2017-11-27,8.790,sh,762013,0.513,9.020,9.040,2.77,0.0
716821338.000,-0.09,9.060,601006,2017-11-24,8.810,sh,801930,0.539,9.020,9.100,3.18,-0.99
1061585849.000,-0.27,9.400,601006,2017-11-23,9.030,sh,1141401,0.768,9.110,9.490,4.9,-2.88
930883985.000,0.09,9.310,601006,2017-11-22,9.210,sh,1001580,0.674,9.380,9.390,1.94,0.97
1164999730.000,0.26,9.000,601006,2017-11-21,8.960,sh,1268321,0.853,9.290,9.350,4.32,2.88
471383497.000,0.0,9.000,601006,2017-11-20,8.890,sh,525579,0.354,9.030,9.060,1.88,0.0
971205411.000,0.24,8.800,601006,2017-11-17,8.700,sh,1093673,0.736,9.030,9.060,4.1,2.73
285205565.000,-0.12,8.890,601006,2017-11-16,8.780,sh,323445,0.218,8.790,8.890,1.23,-1.35
352421722.000,-0.04,8.930,601006,2017-11-15,8.830,sh,396352,0.267,8.910,8.960,1.45,-0.45
272978108.000,-0.04,9.000,601006,2017-11-14,8.910,sh,304990,0.205,8.950,9.010,1.11,-0.44
371140472.000,0.15,8.840,601006,2017-11-13,8.820,sh,415312,0.279,8.990,9.020,2.26,1.7
332588918.000,-0.08,8.920,601006,2017-11-10,8.790,sh,376272,0.253,8.840,8.930,1.57,-0.9
241490411.000,0.04,8.870,601006,2017-11-09,8.850,sh,271364,0.183,8.920,8.930,0.9,0.45
377205964.000,0.02,8.860,601006,2017-11-08,8.830,sh,424379,0.285,8.880,8.960,1.47,0.23
404532369.000,0.03,8.820,601006,2017-11-07,8.780,sh,457014,0.307,8.860,8.900,1.36,0.34
326183604.000,-0.01,8.840,601006,2017-11-06,8.760,sh,370228,0.249,8.830,8.860,1.13,-0.11
606428072.000,-0.1,8.940,601006,2017-11-03,8.720,sh,685665,0.461,8.840,8.950,2.57,-1.12
322562461.000,0.03,8.920,601006,2017-11-02,8.840,sh,361503,0.243,8.940,8.980,1.57,0.34
682116475.000,-0.19,9.100,601006,2017-11-01,8.890,sh,760051,0.511,8.910,9.100,2.31,-2.09
